fraction,split_name,assay_id,assay_type,auroc,auprc,test_set_length,num_actives,num_inactives,n_train_compounds,n_valid_compounds_unused,n_test_compounds,n_train_labels,n_train_pos,n_train_neg,feature,model,constant_fallback
100%,K10000,197_648,biochem,0.5948275862068966,0.12142857142857143,31,2,29,10000,2944,3226,63,2,61,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,197_649,biochem,0.4755829473188348,0.17306821213654577,318,47,271,10000,2944,3226,1472,158,1314,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,197_650,biochem,0.5190125276344879,0.07870995021384702,318,23,295,10000,2944,3226,1472,66,1406,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,198_682,cell,0.6808583106267031,0.2190924570097476,391,24,367,10000,2944,3226,1387,98,1289,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,200_658,cell,1.0,1.0,9,2,7,10000,2944,3226,15,2,13,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,217_689,bacterial,0.6588557993730407,0.1765512965158775,312,22,290,10000,2944,3226,1319,45,1274,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,219_691,biochem,0.4907268170426065,0.026466228033275245,409,10,399,10000,2944,3226,1441,22,1419,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,224_696,bacterial,0.5071225071225072,0.05676023121475146,482,27,455,10000,2944,3226,1718,70,1648,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,228_700,biochem,0.5580592105263158,0.17980157437074418,172,20,152,10000,2944,3226,598,38,560,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,229_701,cell,0.5378662244333886,0.12423343066305385,715,67,648,10000,2944,3226,2730,252,2478,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,232_704,cell,0.7425103305785125,0.3261505470992597,395,32,363,10000,2944,3226,1369,121,1248,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,244_718,biochem,0.44875600471313326,0.006653940668032187,2613,17,2596,10000,2944,3226,7997,50,7947,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,247_721,biochem,0.5188789349125216,0.017731343665908728,2538,37,2501,10000,2944,3226,7552,82,7470,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,250_726,cell,0.8005235602094241,0.07785413043656404,387,5,382,10000,2944,3226,1860,29,1831,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,259_737,biochem,0.6584345479082321,0.004704548047857729,1238,3,1235,10000,2944,3226,4471,28,4443,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,268_746,biochem,0.5590770346287439,0.039256384555538065,2385,74,2311,10000,2944,3226,7183,238,6945,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,269_747,cell,0.5242383302358311,0.06323145354520063,2981,157,2824,10000,2944,3226,9226,351,8875,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,271_749,cell,0.556398169023707,0.22671104645776496,338,51,287,10000,2944,3226,1276,186,1090,Cells_Number_Object_Number,per_assay_lr,False
